===============================================================================
Id,AAPL,len,datetime,open,high,low,close,volume,openinterest,adjclose,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
28,AAPL,28,2014-02-11 23:59:59.999989,68.27,69.19,68.13,68.96,78345075.0,0.0,68.961555,SmaCross,28,735275.9999999999,Broker,28,10000.0,10000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,AAPL,29,2014-02-12 23:59:59.999989,69.09,69.42,68.61,68.96,85518502.0,0.0,68.956413,SmaCross,29,735276.9999999999,Broker,29,10000.0,10000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,AAPL,30,2014-02-13 23:59:59.999989,68.79,70.11,68.74,70.05,85323432.0,0.0,70.051384,SmaCross,30,735277.9999999999,Broker,30,10000.0,10000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,AAPL,31,2014-02-14 23:59:59.999989,69.8,70.25,69.64,69.99,75754704.0,0.0,69.994781,SmaCross,31,735278.9999999999,Broker,31,10000.0,10000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,AAPL,32,2014-02-18 23:59:59.999989,70.25,70.92,70.2,70.25,72237147.0,0.0,70.252129,SmaCross,32,735282.9999999999,Broker,32,10000.0,10000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,AAPL,33,2014-02-19 23:59:59.999989,70.09,70.37,68.75,69.14,87091522.0,0.0,69.14299,SmaCross,33,735283.9999999999,Broker,33,10000.0,10000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,AAPL,34,2014-02-20 23:59:59.999989,68.58,69.1,68.07,68.34,84895970.0,0.0,68.342667,SmaCross,34,735284.9999999999,Broker,34,9931.42,9999.76,BuySell,34,67.04894999999999,,Trades - Net Profit/Loss,34,,
35,AAPL,35,2014-02-21 23:59:59.999989,68.55,68.78,67.5,67.58,77381361.0,0.0,67.583511,SmaCross,35,735285.9999999999,Broker,35,9931.42,9999.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,AAPL,36,2014-02-24 23:59:59.999989,67.31,68.18,67.22,67.88,80191674.0,0.0,67.879448,SmaCross,36,735288.9999999999,Broker,36,9931.42,9999.3,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,AAPL,37,2014-02-25 23:59:59.999989,68.11,68.14,67.04,67.17,64382132.0,0.0,67.173065,SmaCross,37,735289.9999999999,Broker,37,9931.42,9998.59,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,AAPL,38,2014-02-26 23:59:59.999989,67.37,67.55,66.34,66.57,76668665.0,0.0,66.567039,SmaCross,38,735290.9999999999,Broker,38,9931.42,9997.99,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,AAPL,39,2014-02-27 23:59:59.999989,66.54,68.04,66.4,67.89,83792389.0,0.0,67.894882,SmaCross,39,735291.9999999999,Broker,39,9931.42,9999.31,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,AAPL,40,2014-02-28 23:59:59.999989,68.08,68.55,67.18,67.71,103246130.0,0.0,67.710892,SmaCross,40,735292.9999999999,Broker,40,9931.42,9999.13,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,AAPL,41,2014-03-03 23:59:59.999989,67.35,68.28,67.27,67.91,66277705.0,0.0,67.906464,SmaCross,41,735295.9999999999,Broker,41,9931.42,9999.33,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,AAPL,42,2014-03-04 23:59:59.999989,68.32,68.53,67.91,68.35,71928610.0,0.0,68.354248,SmaCross,42,735296.9999999999,Broker,42,9931.42,9999.77,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,AAPL,43,2014-03-05 23:59:59.999989,68.31,68.81,68.08,68.5,55530759.0,0.0,68.498352,SmaCross,43,735297.9999999999,Broker,43,9931.42,9999.92,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,AAPL,44,2014-03-06 23:59:59.999989,68.55,68.77,67.95,68.29,51485521.0,0.0,68.291168,SmaCross,44,735298.9999999999,Broker,44,9931.42,9999.710000000001,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,AAPL,45,2014-03-07 23:59:59.999989,68.33,68.45,67.69,68.25,61267176.0,0.0,68.251305,SmaCross,45,735299.9999999999,Broker,45,9931.42,9999.67,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,AAPL,46,2014-03-10 23:59:59.999989,67.98,68.62,67.98,68.31,49568960.0,0.0,68.313065,SmaCross,46,735302.9999999999,Broker,46,9931.42,9999.73,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,AAPL,47,2014-03-11 23:59:59.999989,68.9,69.32,68.53,68.98,77503384.0,0.0,68.978279,SmaCross,47,735303.9999999999,Broker,47,9931.42,10000.4,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,AAPL,48,2014-03-12 23:59:59.999989,68.77,69.14,68.45,69.05,55326369.0,0.0,69.045181,SmaCross,48,735304.9999999999,Broker,48,9931.42,10000.47,BuySell,48,,,Trades - Net Profit/Loss,48,,
