===============================================================================
Id,AMZN,len,datetime,open,high,low,close,volume,openinterest,adjclose,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
60,AMZN,60,2014-03-28 23:59:59.999989,340.05,347.0,336.08,338.29,3986800.0,0.0,338.290009,SmaCross,60,735320.9999999999,Broker,60,9627.31,9965.6,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,AMZN,61,2014-03-31 23:59:59.999989,342.4,346.29,334.06,336.37,4297500.0,0.0,336.369995,SmaCross,61,735323.9999999999,Broker,61,9969.71,9969.71,BuySell,61,,351.48435,Trades - Net Profit/Loss,61,,-30.29000000000002
62,AMZN,62,2014-04-01 23:59:59.999989,338.09,344.43,338.0,342.99,3600100.0,0.0,342.98999,SmaCross,62,735324.9999999999,Broker,62,9969.71,9969.71,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,AMZN,63,2014-04-02 23:59:59.999989,345.99,348.3,340.38,341.96,4475500.0,0.0,341.959991,SmaCross,63,735325.9999999999,Broker,63,9969.71,9969.71,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,AMZN,64,2014-04-03 23:59:59.999989,341.82,342.5,328.46,333.62,6399300.0,0.0,333.619995,SmaCross,64,735326.9999999999,Broker,64,9969.71,9969.71,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,AMZN,65,2014-04-04 23:59:59.999989,335.15,335.44,315.61,323.0,12534600.0,0.0,323.0,SmaCross,65,735327.9999999999,Broker,65,9969.71,9969.71,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,AMZN,66,2014-04-07 23:59:59.999989,320.99,324.94,313.13,317.76,7077400.0,0.0,317.76001,SmaCross,66,735330.9999999999,Broker,66,9969.71,9969.71,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,AMZN,67,2014-04-08 23:59:59.999989,321.88,328.0,318.44,327.07,6577600.0,0.0,327.070007,SmaCross,67,735331.9999999999,Broker,67,9969.71,9969.71,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,AMZN,68,2014-04-09 23:59:59.999989,328.47,332.18,322.5,331.81,5056600.0,0.0,331.809998,SmaCross,68,735332.9999999999,Broker,68,9969.71,9969.71,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,AMZN,69,2014-04-10 23:59:59.999989,330.6,331.0,316.5,317.11,6126700.0,0.0,317.109985,SmaCross,69,735333.9999999999,Broker,69,9969.71,9969.71,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,AMZN,70,2014-04-11 23:59:59.999989,314.0,316.5,309.5,311.73,7287500.0,0.0,311.730011,SmaCross,70,735334.9999999999,Broker,70,9969.71,9969.71,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,AMZN,71,2014-04-14 23:59:59.999989,317.67,320.48,311.28,315.91,4293500.0,0.0,315.910004,SmaCross,71,735337.9999999999,Broker,71,9969.71,9969.71,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,AMZN,72,2014-04-15 23:59:59.999989,316.7,318.28,305.5,316.08,5398600.0,0.0,316.079987,SmaCross,72,735338.9999999999,Broker,72,9969.71,9969.71,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,AMZN,73,2014-04-16 23:59:59.999989,321.17,324.0,314.71,323.68,4284900.0,0.0,323.679993,SmaCross,73,735339.9999999999,Broker,73,9969.71,9969.71,BuySell,73,,,Trades - Net Profit/Loss,73,,
